Utterance,Intent
I am interested in booking the <keyword>,book_tour
I would like to book <keyword>.,book_tour
I liked to book <keyword> for <date>,book_tour
I want to book <keyword> for <date>.,book_tour
I'd like to book <keyword> for <date>.,book_tour
I want to book <keyword> for <date>.,book_tour
I would like to book <keyword>.,book_tour
I would like to reserve <keyword> for <date>,book_tour
I would like to book <keyword> for <date>,book_tour
Is there a next time slot for <keyword>?,book_tour
Is there a next time slot for <keyword>?,book_tour
When is the next time slot available?,book_tour
When is the next time craneau available for <keyword>?,book_tour
When is the next available time slot for <keyword>?,book_tour
When is the next time slot for <keyword>?,book_tour
When will there be a time slot for <keyword>?,book_tour
When is next available time slot for <keyword>?,book_tour
I would like a tour on <keyword>.,book_tour
I would like a tour on <keyword>.,book_tour
I want to go on a tour.,book_tour
I want a tour on <keyword>,book_tour
I would like to take a tour on <keyword>.,book_tour
I would like to take a tour on <keyword>.,book_tour
I want a visit to <keyword>,book_tour
I want a tour on <keyword>,book_tour
I want to know more about <location>.,"describe_location, recommend_poi"
Tell me more about it.,"describe_location, recommend_poi"
Tell me about <location>.,"describe_location, recommend_poi"
Please tell me more about <location>.,"describe_location, recommend_poi"
Tell me more about <location>.,"describe_location, recommend_poi"
Let me know more about <location>.,"describe_location, recommend_poi"
Tell me more about <location>.,"describe_location, recommend_poi"
Tell me about the funny facts about <location>.,"describe_location, recommend_poi"
Tell me about the funny facts.,"describe_location, recommend_poi"
Tell me some funny facts about <location>.,"describe_location, recommend_poi"
Tell me funny facts about <location>.,"describe_location, recommend_poi"
Tell me about the facts.,"describe_location, recommend_poi"
Tell me the funniest facts about <location>.,"describe_location, recommend_poi"
Tell me some funny facts.,"describe_location, recommend_poi"
Tell me funny facts about <location>.,"describe_location, recommend_poi"
Show me the best attractions.,"describe_location, recommend_poi"
Show me the main attractions <location>.,"describe_location, recommend_poi"
Show me some of the top attractions.,"describe_location, recommend_poi"
Show me the top attractions.,"describe_location, recommend_poi"
Show me the top attractions <location>.,"describe_location, recommend_poi"
Let me know what the top attractions are.,"describe_location, recommend_poi"
I want to show you the top attractions.,"describe_location, recommend_poi"
Show me top attractions <location>.,"describe_location, recommend_poi"
What are some things to consider in this area?,"describe_location, recommend_poi"
What are some things to think about in this area?,"describe_location, recommend_poi"
What should be considered in this area?,"describe_location, recommend_poi"
There are things to think about in this area.,"describe_location, recommend_poi"
What are some things to consider?,"describe_location, recommend_poi"
There are things to consider in this area.,"describe_location, recommend_poi"
What are things to consider in this area?,"describe_location, recommend_poi"
Is this area safe?,"describe_location, recommend_poi"
Is this a safe area?,"describe_location, recommend_poi"
Is this place safe?,"describe_location, recommend_poi"
Is this safe?,"describe_location, recommend_poi"
Is the area safe?,"describe_location, recommend_poi"
Is this area safe?,"describe_location, recommend_poi"
What is the distance between <location> and <location>?,generic_request
What is the distance from <location> to B014?,generic_request
How far away from <location> is it?,generic_request
How far is <location> from <location>?,generic_request
How far from <location> is it?,generic_request
How far away is <location> from each other?,generic_request
How far is <location> away from <location>?,generic_request
What is the fastest way to get to <location>?,generic_request
Which is the fastest way to get to <location>?,generic_request
How fast is it to get to <location>?,generic_request
How fast can you get to <location>?,generic_request
What is the best way to get to <location>?,generic_request
What is the fastest way to get there?,generic_request
What is the fastest way to get to <location>?,generic_request
Are there any peage roads on the road to <location>?,generic_request
Is there a toll road on the way to <location>?,generic_request
Is there any toll roads on the way to <location>?,generic_request
Can you tell me if there are any toll roads on the way to <location>?,generic_request
Are there any toll roads on the way to <location>?,generic_request
Are there toll roads on the way to <location>?,generic_request
There are toll roads on the way to <location>.,generic_request
Are there any toll roads on the way to <location>?,generic_request
Is there any toll bridges on the way to <location>?,generic_request
Can you tell me if there are any toll bridges on the way to <location>?,generic_request
Is there a toll bridge on the way to <location>?,generic_request
There are toll bridges on the way to <location>.,generic_request
Are there toll breaks on the way to <location>?,generic_request
Are there any peage bridges on the road to <location>?,generic_request
Do you know if there are any toll bridges on the way to <location>?,generic_request
Are there any toll bridges on the way to <location>?,generic_request
Are you currently here?,needs_assistance
"Hello, are you here?",needs_assistance
Are you present?,needs_assistance
Are you there?,needs_assistance
Are you here?,needs_assistance
Hello? Are you here?,needs_assistance
Why don't you react?,needs_assistance
Why don't you answer?,needs_assistance
Why aren't you responding?,needs_assistance
Why don't you respond?,needs_assistance
Why are you not responding?,needs_assistance
Why haven't you responded?,needs_assistance
Why aren't you answering?,needs_assistance
Why aren't you responding?,needs_assistance
It's hey!,needs_assistance
"Hey, I'm okay!",needs_assistance
It's Hey!,needs_assistance
Hey!,needs_assistance
I'm Hey!,needs_assistance
Hey!,needs_assistance
Is it possible to talk to someone?,needs_assistance
Can I speak to someone?,needs_assistance
Can I talk to someone?,needs_assistance
Can I have a conversation with someone?,needs_assistance
I don't know if I can talk to someone.,needs_assistance
Can I talk to someone?,needs_assistance
I need assistance.,needs_assistance
I need some assistance.,needs_assistance
I need someone to help me.,needs_assistance
I need some help.,needs_assistance
I need help.,needs_assistance
I need some assistance,needs_assistance
What can I do?,recommend_activity
Is there anything I can do in <location> <time>?,recommend_activity
What can I do to improve my life?,recommend_activity
What can I do in <location> <time>?,recommend_activity
What can I do to improve the situation?,recommend_activity
What can I do to improve my situation?,recommend_activity
What can I do in <location> <time>?,recommend_activity
I don't know what I should do.,recommend_activity
What should I do?,recommend_activity
I don't know what to do <time>.,recommend_activity
What should I do <time>?,recommend_activity
I don't know what to do.,recommend_activity
"<time>, what should I do?",recommend_activity
What should I do <time>?,recommend_activity
Is it a good idea to recommend me something?,recommend_activity
Recommend something to me <time>?,recommend_activity
Is it a good idea to recommend something <time>?,recommend_activity
Recommend me a little <time>?,recommend_activity
Is it a good idea to recommend <time> to me?,recommend_activity
Is it a good idea to tell me something <time>?,recommend_activity
Do you recommend something?,recommend_activity
Recommend me something <time>?,recommend_activity
What are the best <keyword>s in the city?,recommend_activity
What are the top <keyword>s in town?,recommend_activity
What are the best <keyword>s in town?,recommend_activity
What's the best <keyword> in town?,recommend_activity
What is the best <keyword> in town?,recommend_activity
What are the best <keyword> in town?,recommend_activity
What are the best things to do in town?,recommend_activity
What are the best <keyword> in town?,recommend_activity
We are looking for a tour <number_of_people> <location> <time>.,recommend_activity
We are looking for a tour that1-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-6556,recommend_activity
We are looking for a tour.,recommend_activity
We are searching for a tour.,recommend_activity
We are looking for a visit <number_of_people> <location> <time>.,recommend_activity
We are looking for a tour that1-65561-65561-65561-65561-65561-65561-65561-65561-65561-6556 is1-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-6556,recommend_activity
We're looking for a tour.,recommend_activity
We are looking for a tour <number_of_people> <location> <time>.,recommend_activity
I want to book <keyword>.,recommend_activity
I would like to book <keyword>.,recommend_activity
I want to reserve <keyword>,recommend_activity
I want to book <keyword>.,recommend_activity
I'd like to book <keyword>.,recommend_activity
I would like to book <keyword>.,recommend_activity
I liked to book <keyword>,recommend_activity
I want to book <keyword>,recommend_activity
I want to book it.,recommend_activity
I'd like to book <restaurant>.,recommend_activity
I liked book <restaurant>,recommend_activity
I would love to book <restaurant>.,recommend_activity
I want to book <restaurant>.,recommend_activity
I want to reserve <restaurant>,recommend_activity
I would like to book <restaurant>.,recommend_activity
I want to book <restaurant>,recommend_activity
I am looking for a good <keyword> with budget around <budget> for <time>.,recommend_activity
I'm looking for the good <keyword> in <location> with budget around <budget> for <time>.,recommend_activity
I am looking for a good <keyword> with a budget around <budget>.,recommend_activity
I'm looking for the good <keyword> in <location> with a budget around <budget> for <time> .,recommend_activity
I am looking for a good <keyword> with a budget of around <budget>.,recommend_activity
I am looking for a good <keyword> with budget around <budget>.,recommend_activity
I am looking for a good <keyword> with a budget around <budget>.,recommend_activity
I’m looking for the good <keyword> in <location> with budget around <budget> for <time>.,recommend_activity
There is a <keyword> that is available on <date>.,recommend_activity
Find me a <keyword> available on <date> in <location>,recommend_activity
I can find it on <date> and <location>.,recommend_activity
It's possible to find <keyword> on <date>.,recommend_activity
It's possible to find <keyword> that's available on <date>.,recommend_activity
There is a <keyword> that is available on <date>.,recommend_activity
Find me something <keyword> available on <date> in <location>,recommend_activity
Find me some <keyword> that's available  on <date> in <location>,recommend_activity
I can find <keyword> that's under <budget> and available on <date>.,recommend_activity
I can find <keyword> under <budget> and on <date>.,recommend_activity
You can find <keyword> that's under <budget> and available on <date>.,recommend_activity
I can find <keyword> that's under <budget> and available on <date>.,recommend_activity
Find me something <keyword> that's under <budget> and available on <date> in <location>.,recommend_activity
Find me a <keyword> under <budget> and available on <date> in <location>,recommend_activity
I can find <keyword> under <budget> and it's available on <date>.,recommend_activity
Find me some <keyword> that's under <budget> and available  on <date> in <location>,recommend_activity
It's under <budget> and available on <date>.,recommend_activity
Show me some <keyword> that is under <budget> and available on <date> in <location>,recommend_activity
I want to know if there's a <keyword> that's under <budget> and available on <date>.,recommend_activity
Show me some <keyword> that's under <budget> and can be found on <date> in <location>.,recommend_activity
I want to know if there is a <keyword> that is under <budget> and available on <date>.,recommend_activity
I want to know if there's a <keyword> that's available on <date> and <budget>.,recommend_activity
I want to know if there's a <keyword> that's available on <date> and <budget>.,recommend_activity
Show me some <keyword> that's under <budget> and available  on <date> in <location>,recommend_activity
There are things to do under <budget>.,recommend_activity
What are the things to do under <budget>?,recommend_activity
What are the things to do?,recommend_activity
What to do under <budget>?,recommend_activity
What should we do under <budget>?,recommend_activity
"Under <budget>, what are things to do?",recommend_activity
What are things to do under <budget>?,recommend_activity
<keyword> should be done by car.,recommend_activity
recommended <keyword> to do with the car,recommend_activity
<keyword> recommends to do in car,recommend_activity
<keyword> was recommended to do by car.,recommend_activity
<keyword> is recommended to do by car.,recommend_activity
<keyword> was recommended to do by car.,recommend_activity
<keyword> should be done by car.,recommend_activity
recommended <keyword> to do by car,recommend_activity
Fun activities for children,recommend_activity
There are fun activities for kids.,recommend_activity
There are a lot of fun activities for kids.,recommend_activity
There are a lot of fun activities for children.,recommend_activity
There are fun activities for children.,recommend_activity
There are lots of fun activities for kids.,recommend_activity
Fun activities for kids,recommend_activity
"My budget is <budget>, what should I do?",recommend_activity
I'm going to <location> <time>. I like <keyword>. My budget is <budget>. What should I do?,recommend_activity
I have a budget of <budget>.,recommend_activity
I don't know what to do with my budget.,recommend_activity
I have a budget of <budget> and I like <keyword>.,recommend_activity
I have a budget of <budget> and I like <keyword>.,recommend_activity
I'm going to <location> <time>. I like <keyword>. My budget is <budget>. What should I do?,recommend_activity
I would like to see <location>,recommend_activity
I would love to see <location>.,recommend_activity
I liked to see <location>.,recommend_activity
<location> is something I would like to see.,recommend_activity
I would like to see it.,recommend_activity
I want to see <location>.,recommend_activity
I'd like to see <location>.,recommend_activity
I would like to see <location>,recommend_activity
What's going on here?,"recommend_activity, recommend_poi"
What is it that makes this place fun?,"recommend_activity, recommend_poi"
What's it like here?,"recommend_activity, recommend_poi"
What is it about this place that makes it fun?,"recommend_activity, recommend_poi"
What is it about this area that makes it fun?,"recommend_activity, recommend_poi"
What is it about here that makes it fun?,"recommend_activity, recommend_poi"
What's fun around here?,"recommend_activity, recommend_poi"
Show me most <adjective> pages on Tourmega,"recommend_activity, recommend_poi"
Show me the most <adjective> sites on tourmega,"recommend_activity, recommend_poi"
Show me the most <adjective> websites.,"recommend_activity, recommend_poi"
Show me where the <adjective> sites are.,"recommend_activity, recommend_poi"
Let me know the most <adjective> sites on tourmega.,"recommend_activity, recommend_poi"
I want to know the most <adjective> sites on tourmega.,"recommend_activity, recommend_poi"
Show me the most <adjective> sites.,"recommend_activity, recommend_poi"
Show me the most <adjective> sites on tourmega,"recommend_activity, recommend_poi"
I would like to go <country>.,"recommend_activity, recommend_poi"
I'd like to go <country>.,"recommend_activity, recommend_poi"
I would like to go <country>.,"recommend_activity, recommend_poi"
I want to go to <country>.,"recommend_activity, recommend_poi"
I would love to go <country>.,"recommend_activity, recommend_poi"
I want to go <country>.,"recommend_activity, recommend_poi"
I want <country>,"recommend_activity, recommend_poi"
I want to go <country>,"recommend_activity, recommend_poi"
I would like to book the <keyword> for <date> in <location>.,"recommend_activity, recommend_poi"
I liked to book the <keyword> for <date> in <location> for <number_of_people>,"recommend_activity, recommend_poi"
I want to reserve the <keyword> for <date> in <location> for <number_of_people>,"recommend_activity, recommend_poi"
I would like to book the <keyword> for <date> and the <keyword> for C029.,"recommend_activity, recommend_poi"
I would like to book the <keyword> for <date> in <location>.,"recommend_activity, recommend_poi"
I would like to book the <keyword> for D05 and the <keyword> for C05.,"recommend_activity, recommend_poi"
I want to book the <keyword> for D05.,"recommend_activity, recommend_poi"
I want to book the <keyword> for <date> in <location> for <number_of_people>,"recommend_activity, recommend_poi"
Can you help us quote the following <keyword>?,"recommend_activity, recommend_poi"
Is there a way to quote the following <keyword>?,"recommend_activity, recommend_poi"
Is there a way to quote the following <keyword>?,"recommend_activity, recommend_poi"
Is there a way to quote for the following <keyword>?,"recommend_activity, recommend_poi"
Can you please help quote for the following <keyword>,"recommend_activity, recommend_poi"
Is it possible for you to quote for <keyword>?,"recommend_activity, recommend_poi"
Is it possible to quote for the following <keyword>?,"recommend_activity, recommend_poi"
Can you please assist to quote for the following <keyword>,"recommend_activity, recommend_poi"
There is a top recommended activity.,"recommend_activity, recommend_poi"
Top activity to do.,"recommend_activity, recommend_poi"
Recommended activity,"recommend_activity, recommend_poi"
The top activity is recommended.,"recommend_activity, recommend_poi"
Top activity that should be done.,"recommend_activity, recommend_poi"
It's the top recommended activity.,"recommend_activity, recommend_poi"
Top recommended activity,"recommend_activity, recommend_poi"
Top recommended activity,"recommend_activity, recommend_poi"
There are some top locations for kids.,recommend_poi
Best places for children,recommend_poi
There are some top locations for children.,recommend_poi
Top locations for children,recommend_poi
There are top places for kids.,recommend_poi
There are top locations for children.,recommend_poi
There are top locations for kids.,recommend_poi
Top locations for kids,recommend_poi
There are top places to see in the month.,recommend_poi
There are top places to see in <keyword>.,recommend_poi
There are top places to see in <keyword>.,recommend_poi
There are some top places to see in the month.,recommend_poi
Top places to see in <keyword> (month),recommend_poi
Best places to see in <keyword> (month),recommend_poi
There are top places to see in this month.,recommend_poi
Top places to see in <keyword> (month),recommend_poi
Show me most <adjective> pages,recommend_poi
Send me the most <adjective> sites.,recommend_poi
I want to know the most <adjective> sites.,recommend_poi
Tell me the most <adjective> sites.,recommend_poi
Show me most sites <adjective>,recommend_poi
Show me the most <adjective> sites.,recommend_poi
Let me know the most <adjective> sites.,recommend_poi
Show me the most <adjective> sites,recommend_poi
Show me what's hidden.,recommend_poi
Show me gems that I don't know.,recommend_poi
Show me gems that are hidden.,recommend_poi
Show me the gems.,recommend_poi
Show me hidden gems,recommend_poi
Show me the gems that are hidden.,recommend_poi
Show me some precious hidden stones.,recommend_poi
Show me hidden gems,recommend_poi
Show me where the hidden locations are.,recommend_poi
Show me the places that are hidden.,recommend_poi
Show me hidden places,recommend_poi
Let me know where the hidden locations are.,recommend_poi
Show me places that are hidden.,recommend_poi
Show me where the hidden places are.,recommend_poi
Show me the hiding places,recommend_poi
Show me hidden locations,recommend_poi
There are locations with less people.,recommend_poi
There are places with less people.,recommend_poi
The locations have less people.,recommend_poi
There are locations that have less people.,recommend_poi
There are locations with fewer people.,recommend_poi
Plots with fewer people,recommend_poi
Sites with fewer people,recommend_poi
Locations with less people,recommend_poi
Show me places that aren't crowded.,recommend_poi
Show me places that are not as crowded.,recommend_poi
Show me places that are less crowded.,recommend_poi
Show me places that are not crowded.,recommend_poi
Show me less crowded places,recommend_poi
Show me some less frequent places.,recommend_poi
Show me less crowded places.,recommend_poi
Show me less crowded locations,recommend_poi
I'm looking for festivals.,recommend_poi
I'm looking for things to do.,recommend_poi
I'm interested in festivals.,recommend_poi
I'm searching for festivals.,recommend_poi
I'm looking for events.,recommend_poi
I'm looking for festivals,recommend_poi
I'm looking for festivals,recommend_poi
What is the location of <keyword> festival?,recommend_poi
What is the location of the <keyword> festival?,recommend_poi
Where is the <keyword> festival?,recommend_poi
Where is the <keyword> festival?,recommend_poi
Where's the <keyword> festival?,recommend_poi
Where's the <keyword> Festival?,recommend_poi
What is the location of the <keyword> festival?,recommend_poi
Where is <keyword> festival?,recommend_poi
Where can I get <keyword> food?,recommend_poi
Where can I find <keyword> food?,recommend_poi
Where can I get <keyword> food?,recommend_poi
Is there a place where I can find <keyword> food?,recommend_poi
Or can I find <keyword> food?,recommend_poi
Where can I buy <keyword> food?,recommend_poi
Where can I find food?,recommend_poi
Where can I find <keyword> food?,recommend_poi
Show me places to eat.,recommend_poi
Show me the best restaurants,recommend_poi
Show me the best places to eat.,recommend_poi
Show me the best restaurants.,recommend_poi
I want to show you the best restaurants.,recommend_poi
Tell me about the best restaurants.,recommend_poi
Show me best restaurants,recommend_poi
I want to know the best restaurants for <keyword> food.,recommend_poi
Show me the best places to eat.,recommend_poi
I want to know the best restaurants for <keyword>.,recommend_poi
Show me the best restaurants for food <keyword>,recommend_poi
I need to know the best restaurants for <keyword> food.,recommend_poi
I want to know the best restaurants for <keyword> food.,recommend_poi
Show me the best restaurants for <keyword> food,recommend_poi
Show me best restaurants for <keyword> food,recommend_poi
<keyword> is the top recommended food.,recommend_poi
<keyword> food is the top recommended food.,recommend_poi
<keyword> food is recommended.,recommend_poi
Top recommended <keyword> foods,recommend_poi
The recommended food is <keyword>.,recommend_poi
<keyword> recommended foods,recommend_poi
<keyword> food is recommended.,recommend_poi
Top recommended <keyword> food,recommend_poi
Please make a reservation for me.,reservation_inquiry
"I'd like to make a reservation, please.",reservation_inquiry
I'd like to make a reservation.,reservation_inquiry
I want to make a reservation.,reservation_inquiry
I was happy to make a reservation please,reservation_inquiry
Please let me know if I can make a reservation.,reservation_inquiry
I would like to make a reservation.,reservation_inquiry
I WOULD like to make a reservation please,reservation_inquiry
I don't know how to make a reservation.,reservation_inquiry
How can I reserve?,reservation_inquiry
Is it possible to make a reservation?,reservation_inquiry
How do I make a reservation?,reservation_inquiry
I want to make a reservation.,reservation_inquiry
How can I make a reservation?,reservation_inquiry
How do i make a reservation?,reservation_inquiry
I would like to make a table reservation.,reservation_inquiry
I want to make a table reservation.,reservation_inquiry
I would like to make a reservation for a table.,reservation_inquiry
I liked to make table reservation at <restaurant>,reservation_inquiry
I would like to reserve a table.,reservation_inquiry
I'd like to make a table reservation at <restaurant>,reservation_inquiry
I would like to make a reservation.,reservation_inquiry
I would like to make table reservation at <restaurant>,reservation_inquiry
I have to make a group reservation.,reservation_inquiry
I need to make a group reservation.,reservation_inquiry
I have to make a group reservation at <restaurant>.,reservation_inquiry
I have to make a group reservation to <restaurant>,reservation_inquiry
I need to make a reservation for a group.,reservation_inquiry
I need to make a reservation.,reservation_inquiry
I need a group reservation.,reservation_inquiry
I need to make a group reservation at <restaurant>,reservation_inquiry
"I need the bill copy of a purchase, can you help me?",reservation_inquiry
"I need the invoice for a purchase made by my boss, can you help me?",reservation_inquiry
Can you help me with the bill copy of my purchase from my boss?,reservation_inquiry
"I need a copy of a purchase from my boss, can you help me?",reservation_inquiry
Can you help me with the bill copy of my purchase?,reservation_inquiry
I need a copy of the bill for my boss.,reservation_inquiry
Can you help me get the bill copy of my purchase from my boss?,reservation_inquiry
"I need the bill copy of a purchase made by my boss, can you help me?",reservation_inquiry
I need the bill copy for my boss.,reservation_inquiry
I need a copy of the bill.,reservation_inquiry
I need my boss's bill copy.,reservation_inquiry
I need a copy of my boss's purchase.,reservation_inquiry
I need a bill copy for my boss.,reservation_inquiry
I need the bill for a purchase made by my boss.,reservation_inquiry
I need a copy of the bill for my boss.,reservation_inquiry
I need the bill copy of a purchase made by my boss.,reservation_inquiry
I need a copy of the bill.,reservation_inquiry
I need the invoice copy of a purchase.,reservation_inquiry
I need the invoice for the purchase.,reservation_inquiry
I need a bill copy for the purchase.,reservation_inquiry
The bill copy is needed.,reservation_inquiry
I need the bill for a purchase.,reservation_inquiry
I need the bill copy for the purchase.,reservation_inquiry
I need the bill copy of a purchase.,reservation_inquiry
I need the bill copy for the reservation.,reservation_inquiry
I need a copy of the reservation bill.,reservation_inquiry
I need a copy of a reservation.,reservation_inquiry
I need a reservation bill.,reservation_inquiry
I need the bill for the reservation.,reservation_inquiry
I need a copy of the bill.,reservation_inquiry
I need a copy of the bill for the reservation.,reservation_inquiry
I need the bill copy of a reservation.,reservation_inquiry
I need a copy of a purchase invoice.,reservation_inquiry
I need a copy of a bill.,reservation_inquiry
I need a copy of the bill.,reservation_inquiry
I need a copy of the purchase invoice.,reservation_inquiry
I need a copy of a purchase ticket.,reservation_inquiry
I need a copy of the purchase bill.,reservation_inquiry
There is a bill of a purchase.,reservation_inquiry
I need the copy of a bill of a purchase.,reservation_inquiry
"If we pay, is this a confirmed reservation?",reservation_regulations
Is it a confirmed reservation if we pay?,reservation_regulations
Is this confirmed if we pay?,reservation_regulations
"If we pay, is it a confirmed reservation?",reservation_regulations
Is this a confirmed reservation if we pay?,reservation_regulations
Is this a fixed reservation when we pay?,reservation_regulations
Is this a confirmed reservation if we pay?,reservation_regulations
Why are we being charged for a tour?,reservation_regulations
Why are we being charged to go on a tour?,reservation_regulations
We would like to make a reservation for a tour.,reservation_regulations
we liked to make a reservation at <restaurant>. Why are we commissioned to do a tour?,reservation_regulations
We would like to make a reservation.,reservation_regulations
we would like to make a reservation in <restaurant>. Why are we responsible for making a visit,reservation_regulations
We want to make a reservation at <restaurant>.,reservation_regulations
we would like to make a reservation at <restaurant>. Why are we being charged to take a tour,reservation_regulations
"Hello, if the application for <restaurant> is not fulfilled, will the costs be reimbursed?",reservation_regulations
"Hello, if the request is not met for <restaurant>, will the cost be refunded?",reservation_regulations
Will the cost be forgiven if the request is not fulfilled?,reservation_regulations
Will the cost be returned if the request is not fulfilled?,reservation_regulations
Will the cost be refunded if the request is not fulfilled?,reservation_regulations
Will the cost be paid back if the request is not fulfilled?,reservation_regulations
Will the cost be reimbursed if the request is not fulfilled?,reservation_regulations
"Hi, if the request is not fulfilled for <restaurant>, will the cost be refunded?",reservation_regulations
This is a sure reservation?,reservation_regulations
Is this a sure thing?,reservation_regulations
Is that a secure reservation?,reservation_regulations
Is this a sure reservation?,reservation_regulations
Is that a safe reservation?,reservation_regulations
Is this a good idea?,reservation_regulations
Is it a sure reservation?,reservation_regulations
Is this a sure reservation?,reservation_regulations
Do you give a full refund if you can't get a reservation?,reservation_regulations
Please explain if you are not in a position to guarantee reservation are you making a full refund?,reservation_regulations
Do you do a full refund if you can't get a reservation?,reservation_regulations
Do you do a full refund if you can't secure a reservation?,reservation_regulations
Do you do a full refunds if you can't get a reservation?,reservation_regulations
"Please explain if you are not able to secure the reservation, do you do a full refund?",reservation_regulations
Do you offer a full refund if you can't get a reservation?,reservation_regulations
Please explain if you are unable to secure reservation do you do a full refund?,reservation_regulations
I wonder if there is a backup for the payment if the reservation is a scam.,reservation_regulations
I wonder if there is a backup for the payment if the reservation was a scam.,reservation_regulations
I wonder if there is a backup for the payment in case the reservation was a scam.,reservation_regulations
"If the reservation was a scam, I would like to know if there was a backup for the payment.",reservation_regulations
I want to know the process a little more cautious and wonder if there is the backup for the payment if the reservation was a scam,reservation_regulations
I liked to know the process a bit more carefully and ask myself if there is the backup for the payment if the reservation was a fraud,reservation_regulations
"If the reservation was a scam, I wonder if there was a backup for the payment.",reservation_regulations
I want to know the process little more careful and wonder if there are the backup for the payment if the reservation was a scam,reservation_regulations
Is it possible to confirm by <time>.,reservation_update_request
Is it possible to confirm by E064.,reservation_update_request
Can you confirm it?,reservation_update_request
Can you confirm by <time> please?,reservation_update_request
Is it possible to confirm by <time>?,reservation_update_request
"Can you confirm by <time>, please?",reservation_update_request
Are you able to confirm by <time>?,reservation_update_request
Can you please confirm by <time>,reservation_update_request
An email was sent to support the reservation.,reservation_update_request
I have an e-mail to the support about the reservation <confirmation_code>,reservation_update_request
I sent an email to support reservation <confirmation_code>,reservation_update_request
